source,year,category,type,number
data.gov,2005,Cars & Station-wagons,Private cars,401638
data.gov,2006,Cars & Station-wagons,Private cars,421904
data.gov,2007,Cars & Station-wagons,Private cars,451745
data.gov,2008,Cars & Station-wagons,Private cars,476634
data.gov,2009,Cars & Station-wagons,Private cars,497116
data.gov,2010,Cars & Station-wagons,Private cars,511125
data.gov,2011,Cars & Station-wagons,Private cars,520614
data.gov,2012,Cars & Station-wagons,Private cars,535233
data.gov,2013,Cars & Station-wagons,Private cars,540063
data.gov,2014,Cars & Station-wagons,Private cars,536882
data.gov,2005,Cars & Station-wagons,Company cars,14936
data.gov,2006,Cars & Station-wagons,Company cars,15828
data.gov,2007,Cars & Station-wagons,Company cars,16954
data.gov,2008,Cars & Station-wagons,Company cars,18246
data.gov,2009,Cars & Station-wagons,Company cars,18874
data.gov,2010,Cars & Station-wagons,Company cars,19733
data.gov,2011,Cars & Station-wagons,Company cars,20372
data.gov,2012,Cars & Station-wagons,Company cars,21403
data.gov,2013,Cars & Station-wagons,Company cars,21756
data.gov,2014,Cars & Station-wagons,Company cars,21860
data.gov,2005,Cars & Station-wagons,Tuition cars,917
data.gov,2006,Cars & Station-wagons,Tuition cars,928
data.gov,2007,Cars & Station-wagons,Tuition cars,949
data.gov,2008,Cars & Station-wagons,Tuition cars,976
data.gov,2009,Cars & Station-wagons,Tuition cars,1011
data.gov,2010,Cars & Station-wagons,Tuition cars,940
data.gov,2011,Cars & Station-wagons,Tuition cars,919
data.gov,2012,Cars & Station-wagons,Tuition cars,899
data.gov,2013,Cars & Station-wagons,Tuition cars,897
data.gov,2014,Cars & Station-wagons,Tuition cars,874
data.gov,2005,Cars & Station-wagons,Rental cars,7756
data.gov,2006,Cars & Station-wagons,Rental cars,9235
data.gov,2007,Cars & Station-wagons,Rental cars,11054
data.gov,2008,Cars & Station-wagons,Rental cars,12391
data.gov,2009,Cars & Station-wagons,Rental cars,12763
data.gov,2010,Cars & Station-wagons,Rental cars,13347
data.gov,2011,Cars & Station-wagons,Rental cars,13919
data.gov,2012,Cars & Station-wagons,Rental cars,14862
data.gov,2013,Cars & Station-wagons,Rental cars,16396
data.gov,2014,Cars & Station-wagons,Rental cars,18847
data.gov,2005,Cars & Station-wagons,Off peak cars,12947
data.gov,2006,Cars & Station-wagons,Off peak cars,24413
data.gov,2007,Cars & Station-wagons,Off peak cars,33983
data.gov,2008,Cars & Station-wagons,Off peak cars,42208
data.gov,2009,Cars & Station-wagons,Off peak cars,47224
data.gov,2010,Cars & Station-wagons,Off peak cars,50040
data.gov,2011,Cars & Station-wagons,Off peak cars,47899
data.gov,2012,Cars & Station-wagons,Off peak cars,45173
data.gov,2013,Cars & Station-wagons,Off peak cars,42233
data.gov,2014,Cars & Station-wagons,Off peak cars,38146
data.gov,2005,Taxis,Taxis,22383
data.gov,2006,Taxis,Taxis,23334
data.gov,2007,Taxis,Taxis,24446
data.gov,2008,Taxis,Taxis,24300
data.gov,2009,Taxis,Taxis,24702
data.gov,2010,Taxis,Taxis,26073
data.gov,2011,Taxis,Taxis,27051
data.gov,2012,Taxis,Taxis,28210
data.gov,2013,Taxis,Taxis,27695
data.gov,2014,Taxis,Taxis,28736
data.gov,2005,Motorcycles,Motorcycles,138588
data.gov,2006,Motorcycles,Motorcycles,141881
data.gov,2007,Motorcycles,Motorcycles,143482
data.gov,2008,Motorcycles,Motorcycles,145288
data.gov,2009,Motorcycles,Motorcycles,146337
data.gov,2010,Motorcycles,Motorcycles,147282
data.gov,2011,Motorcycles,Motorcycles,145680
data.gov,2012,Motorcycles,Motorcycles,143286
data.gov,2013,Motorcycles,Motorcycles,144307
data.gov,2014,Motorcycles,Motorcycles,144404
data.gov,2005,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),5697
data.gov,2006,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),5439
data.gov,2007,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),5074
data.gov,2008,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4941
data.gov,2009,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4771
data.gov,2010,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4570
data.gov,2011,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4402
data.gov,2012,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4144
data.gov,2013,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),3166
data.gov,2014,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),2868
data.gov,2005,Goods & Other Vehicles,Light Goods Vehicles (LGVs),85891
data.gov,2006,Goods & Other Vehicles,Light Goods Vehicles (LGVs),87805
data.gov,2007,Goods & Other Vehicles,Light Goods Vehicles (LGVs),91945
data.gov,2008,Goods & Other Vehicles,Light Goods Vehicles (LGVs),94045
data.gov,2009,Goods & Other Vehicles,Light Goods Vehicles (LGVs),95185
data.gov,2010,Goods & Other Vehicles,Light Goods Vehicles (LGVs),93999
data.gov,2011,Goods & Other Vehicles,Light Goods Vehicles (LGVs),94710
data.gov,2012,Goods & Other Vehicles,Light Goods Vehicles (LGVs),93914
data.gov,2013,Goods & Other Vehicles,Light Goods Vehicles (LGVs),92317
data.gov,2014,Goods & Other Vehicles,Light Goods Vehicles (LGVs),92731
data.gov,2005,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),26756
data.gov,2006,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),28983
data.gov,2007,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),30207
data.gov,2008,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),31383
data.gov,2009,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),31884
data.gov,2010,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),31869
data.gov,2011,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),32297
data.gov,2012,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),32313
data.gov,2013,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),32549
data.gov,2014,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),32196
data.gov,2005,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),9849
data.gov,2006,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),10614
data.gov,2007,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),11378
data.gov,2008,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),12597
data.gov,2009,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),12962
data.gov,2010,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),13175
data.gov,2011,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),13749
data.gov,2012,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),14675
data.gov,2013,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16170
data.gov,2014,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16712
data.gov,2005,Buses,Omnibuses,3599
data.gov,2006,Buses,Omnibuses,3785
data.gov,2007,Buses,Omnibuses,3761
data.gov,2008,Buses,Omnibuses,3854
data.gov,2009,Buses,Omnibuses,4045
data.gov,2010,Buses,Omnibuses,3981
data.gov,2011,Buses,Omnibuses,4112
data.gov,2012,Buses,Omnibuses,4212
data.gov,2013,Buses,Omnibuses,4552
data.gov,2014,Buses,Omnibuses,4756
data.gov,2005,Buses,School buses (CB),1873
data.gov,2006,Buses,School buses (CB),1881
data.gov,2007,Buses,School buses (CB),1851
data.gov,2008,Buses,School buses (CB),1852
data.gov,2009,Buses,School buses (CB),1849
data.gov,2010,Buses,School buses (CB),1845
data.gov,2011,Buses,School buses (CB),1844
data.gov,2012,Buses,School buses (CB),1839
data.gov,2013,Buses,School buses (CB),1847
data.gov,2014,Buses,School buses (CB),1845
data.gov,2005,Buses,Private buses,2557
data.gov,2006,Buses,Private buses,2577
data.gov,2007,Buses,Private buses,2628
data.gov,2008,Buses,Private buses,2739
data.gov,2009,Buses,Private buses,2795
data.gov,2010,Buses,Private buses,2842
data.gov,2011,Buses,Private buses,3076
data.gov,2012,Buses,Private buses,2968
data.gov,2013,Buses,Private buses,2871
data.gov,2014,Buses,Private buses,2802
data.gov,2005,Buses,Private hire buses,3090
data.gov,2006,Buses,Private hire buses,3189
data.gov,2007,Buses,Private hire buses,3356
data.gov,2008,Buses,Private hire buses,3548
data.gov,2009,Buses,Private hire buses,3586
data.gov,2010,Buses,Private hire buses,3507
data.gov,2011,Buses,Private hire buses,3332
data.gov,2012,Buses,Private hire buses,3063
data.gov,2013,Buses,Private hire buses,2654
data.gov,2014,Buses,Private hire buses,2152
data.gov,2005,Buses,Excursion buses,2101
data.gov,2006,Buses,Excursion buses,2399
data.gov,2007,Buses,Excursion buses,2596
data.gov,2008,Buses,Excursion buses,2983
data.gov,2009,Buses,Excursion buses,3384
data.gov,2010,Buses,Excursion buses,3761
data.gov,2011,Buses,Excursion buses,4288
data.gov,2012,Buses,Excursion buses,4686
data.gov,2013,Buses,Excursion buses,5141
data.gov,2014,Buses,Excursion buses,5554
data.gov,2005,Tax Exempted Vehicles,Cars & Station-wagons,2389
data.gov,2006,Tax Exempted Vehicles,Cars & Station-wagons,2409
data.gov,2007,Tax Exempted Vehicles,Cars & Station-wagons,2356
data.gov,2008,Tax Exempted Vehicles,Cars & Station-wagons,2391
data.gov,2009,Tax Exempted Vehicles,Cars & Station-wagons,2383
data.gov,2010,Tax Exempted Vehicles,Cars & Station-wagons,2561
data.gov,2011,Tax Exempted Vehicles,Cars & Station-wagons,2557
data.gov,2012,Tax Exempted Vehicles,Cars & Station-wagons,2441
data.gov,2013,Tax Exempted Vehicles,Cars & Station-wagons,2343
data.gov,2014,Tax Exempted Vehicles,Cars & Station-wagons,2414
data.gov,2005,Tax Exempted Vehicles,Motorcycles,846
data.gov,2006,Tax Exempted Vehicles,Motorcycles,855
data.gov,2007,Tax Exempted Vehicles,Motorcycles,858
data.gov,2008,Tax Exempted Vehicles,Motorcycles,832
data.gov,2009,Tax Exempted Vehicles,Motorcycles,878
data.gov,2010,Tax Exempted Vehicles,Motorcycles,878
data.gov,2011,Tax Exempted Vehicles,Motorcycles,879
data.gov,2012,Tax Exempted Vehicles,Motorcycles,824
data.gov,2013,Tax Exempted Vehicles,Motorcycles,627
data.gov,2014,Tax Exempted Vehicles,Motorcycles,622
data.gov,2005,Tax Exempted Vehicles,Buses,274
data.gov,2006,Tax Exempted Vehicles,Buses,289
data.gov,2007,Tax Exempted Vehicles,Buses,338
data.gov,2008,Tax Exempted Vehicles,Buses,351
data.gov,2009,Tax Exempted Vehicles,Buses,364
data.gov,2010,Tax Exempted Vehicles,Buses,373
data.gov,2011,Tax Exempted Vehicles,Buses,394
data.gov,2012,Tax Exempted Vehicles,Buses,394
data.gov,2013,Tax Exempted Vehicles,Buses,444
data.gov,2014,Tax Exempted Vehicles,Buses,445
data.gov,2005,Tax Exempted Vehicles,Goods & Other Vehicles,10905
data.gov,2006,Tax Exempted Vehicles,Goods & Other Vehicles,11625
data.gov,2007,Tax Exempted Vehicles,Goods & Other Vehicles,12375
data.gov,2008,Tax Exempted Vehicles,Goods & Other Vehicles,13123
data.gov,2009,Tax Exempted Vehicles,Goods & Other Vehicles,13405
data.gov,2010,Tax Exempted Vehicles,Goods & Other Vehicles,13928
data.gov,2011,Tax Exempted Vehicles,Goods & Other Vehicles,14610
data.gov,2012,Tax Exempted Vehicles,Goods & Other Vehicles,15371
data.gov,2013,Tax Exempted Vehicles,Goods & Other Vehicles,16142
data.gov,2014,Tax Exempted Vehicles,Goods & Other Vehicles,17191
data.gov,2015,Cars & Station-wagons,Private cars,519645
data.gov,2015,Cars & Station-wagons,Company cars,21987
data.gov,2015,Cars & Station-wagons,Tuition cars,841
data.gov,2015,Cars & Station-wagons,Rental cars,29369
data.gov,2015,Cars & Station-wagons,Off peak cars,30469
data.gov,2015,Taxis,Taxis,28259
data.gov,2015,Motorcycles,Motorcycles,143279
data.gov,2015,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),2997
data.gov,2015,Goods & Other Vehicles,Light Goods Vehicles (LGVs),94016
data.gov,2015,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),30155
data.gov,2015,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16804
data.gov,2015,Buses,Omnibuses,5120
data.gov,2015,Buses,School buses (CB),1847
data.gov,2015,Buses,Private buses,2717
data.gov,2015,Buses,Private hire buses,1909
data.gov,2015,Buses,Excursion buses,6147
data.gov,2015,Tax Exempted Vehicles,Cars & Station-wagons,2411
data.gov,2015,Tax Exempted Vehicles,Motorcycles,621
data.gov,2015,Tax Exempted Vehicles,Buses,443
data.gov,2015,Tax Exempted Vehicles,Goods & Other Vehicles,18210
data.gov,2016,Cars & Station-wagons,Private cars,504160
data.gov,2016,Cars & Station-wagons,Company cars,22382
data.gov,2016,Cars & Station-wagons,Tuition cars,817
data.gov,2016,Cars & Station-wagons,Rental cars,51336
data.gov,2016,Cars & Station-wagons,Off peak cars,22562
data.gov,2016,Taxis,Taxis,27534
data.gov,2016,Motorcycles,Motorcycles,142439
data.gov,2016,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),2992
data.gov,2016,Goods & Other Vehicles,Light Goods Vehicles (LGVs),95750
data.gov,2016,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),28817
data.gov,2016,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16407
data.gov,2016,Buses,Omnibuses,5470
data.gov,2016,Buses,School buses (CB),1840
data.gov,2016,Buses,Private buses,2659
data.gov,2016,Buses,Private hire buses,1598
data.gov,2016,Buses,Excursion buses,6771
data.gov,2016,Tax Exempted Vehicles,Cars & Station-wagons,2506
data.gov,2016,Tax Exempted Vehicles,Motorcycles,613
data.gov,2016,Tax Exempted Vehicles,Buses,466
data.gov,2016,Tax Exempted Vehicles,Goods & Other Vehicles,19311
data.gov,2017,Cars and Station-wagons,Private cars,502187
data.gov,2017,Cars and Station-wagons,Company cars,24196
data.gov,2017,Cars and Station-wagons,Tuition cars,843
data.gov,2017,Cars and Station-wagons,Rental cars,68083
data.gov,2017,Cars and Station-wagons,Off peak cars,16947
data.gov,2017,Taxis,Taxis,23140
data.gov,2017,Motorcycles and Scooters,Motorcycles and Scooters,141304
data.gov,2017,Goods and Other Vehicles,Goods-cum-passenger vehicles (GPVs),2972
data.gov,2017,Goods and Other Vehicles,Light Goods Vehicles (LGVs),94724
data.gov,2017,Goods and Other Vehicles,Heavy Goods Vehicles (HGVs),28641
data.gov,2017,Goods and Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16520
data.gov,2017,Buses,Omnibuses,5665
data.gov,2017,Buses,School buses (CB),1844
data.gov,2017,Buses,Private buses,2533
data.gov,2017,Buses,Private hire buses,1255
data.gov,2017,Buses,Excursion buses,7517
data.gov,2017,Tax Exempted Vehicles,Cars and Station-wagons,2533
data.gov,2017,Tax Exempted Vehicles,Motorcycles and scooters,612
data.gov,2017,Tax Exempted Vehicles,Buses,471
data.gov,2017,Tax Exempted Vehicles,Goods and Other Vehicles,19855
Singstat,2018,Cars and Station-wagons,Private cars,615452
Singstat,2018,Taxis,Taxis,20581
Singstat,2018,Motorcycles and Scooters,Motorcycles and Scooters,137480
Singstat,2018,Buses,Omnibuses,5835
Singstat,2018,Buses,School buses (CB),1899
Singstat,2018,Buses,Private buses,2609
Singstat,2018,Buses,Private hire buses,1292
Singstat,2018,Buses,Excursion buses,7742
