"Technology","Age","Value","Year"
"ICEV-G",0,108607,2005
"ICEV-D",0,6,2005
"HEV-G",0,352,2005
"HEV-D",0,0,2005
"CNG",0,199,2005
"PHEV",0,0,2005
"BEV",0,1,2005
"ICEV-G",1,96518,2005
"ICEV-D",1,0,2005
"HEV-G",1,0,2005
"HEV-D",1,0,2005
"CNG",1,0,2005
"PHEV",1,0,2005
"BEV",1,0,2005
"ICEV-G",2,78754,2005
"ICEV-D",2,0,2005
"HEV-G",2,0,2005
"HEV-D",2,0,2005
"CNG",2,0,2005
"PHEV",2,0,2005
"BEV",2,0,2005
"ICEV-G",3,46496,2005
"ICEV-D",3,0,2005
"HEV-G",3,0,2005
"HEV-D",3,0,2005
"CNG",3,0,2005
"PHEV",3,0,2005
"BEV",3,0,2005
"ICEV-G",4,34396,2005
"ICEV-D",4,0,2005
"HEV-G",4,0,2005
"HEV-D",4,0,2005
"CNG",4,0,2005
"PHEV",4,0,2005
"BEV",4,0,2005
"ICEV-G",5,10562,2005
"ICEV-D",5,0,2005
"HEV-G",5,0,2005
"HEV-D",5,0,2005
"CNG",5,0,2005
"PHEV",5,0,2005
"BEV",5,0,2005
"ICEV-G",6,6644,2005
"ICEV-D",6,0,2005
"HEV-G",6,0,2005
"HEV-D",6,0,2005
"CNG",6,0,2005
"PHEV",6,0,2005
"BEV",6,0,2005
"ICEV-G",7,8462,2005
"ICEV-D",7,0,2005
"HEV-G",7,0,2005
"HEV-D",7,0,2005
"CNG",7,0,2005
"PHEV",7,0,2005
"BEV",7,0,2005
"ICEV-G",8,2284,2005
"ICEV-D",8,0,2005
"HEV-G",8,0,2005
"HEV-D",8,0,2005
"CNG",8,0,2005
"PHEV",8,0,2005
"BEV",8,0,2005
"ICEV-G",9,3250,2005
"ICEV-D",9,0,2005
"HEV-G",9,0,2005
"HEV-D",9,0,2005
"CNG",9,0,2005
"PHEV",9,0,2005
"BEV",9,0,2005
"ICEV-G",10,644,2005
"ICEV-D",10,0,2005
"HEV-G",10,0,2005
"HEV-D",10,0,2005
"CNG",10,0,2005
"PHEV",10,0,2005
"BEV",10,0,2005
"ICEV-G",11,787,2005
"ICEV-D",11,0,2005
"HEV-G",11,0,2005
"HEV-D",11,0,2005
"CNG",11,0,2005
"PHEV",11,0,2005
"BEV",11,0,2005
"ICEV-G",12,4003,2005
"ICEV-D",12,0,2005
"HEV-G",12,0,2005
"HEV-D",12,0,2005
"CNG",12,0,2005
"PHEV",12,0,2005
"BEV",12,0,2005
"ICEV-G",13,12431,2005
"ICEV-D",13,0,2005
"HEV-G",13,0,2005
"HEV-D",13,0,2005
"CNG",13,0,2005
"PHEV",13,0,2005
"BEV",13,0,2005
"ICEV-G",14,11822,2005
"ICEV-D",14,0,2005
"HEV-G",14,0,2005
"HEV-D",14,0,2005
"CNG",14,0,2005
"PHEV",14,0,2005
"BEV",14,0,2005
"ICEV-G",15,11976,2005
"ICEV-D",15,0,2005
"HEV-G",15,0,2005
"HEV-D",15,0,2005
"CNG",15,0,2005
"PHEV",15,0,2005
"BEV",15,0,2005
"ICEV-G",0,122739,2006
"ICEV-D",0,1,2006
"HEV-G",0,27,2006
"HEV-D",0,0,2006
"CNG",0,15,2006
"PHEV",0,0,2006
"BEV",0,0,2006
"ICEV-G",1,108517,2006
"ICEV-D",1,6,2006
"HEV-G",1,352,2006
"HEV-D",1,0,2006
"CNG",1,199,2006
"PHEV",1,0,2006
"BEV",1,1,2006
"ICEV-G",2,93240,2006
"ICEV-D",2,0,2006
"HEV-G",2,0,2006
"HEV-D",2,0,2006
"CNG",2,0,2006
"PHEV",2,0,2006
"BEV",2,0,2006
"ICEV-G",3,63124,2006
"ICEV-D",3,0,2006
"HEV-G",3,0,2006
"HEV-D",3,0,2006
"CNG",3,0,2006
"PHEV",3,0,2006
"BEV",3,0,2006
"ICEV-G",4,26056,2006
"ICEV-D",4,0,2006
"HEV-G",4,0,2006
"HEV-D",4,0,2006
"CNG",4,0,2006
"PHEV",4,0,2006
"BEV",4,0,2006
"ICEV-G",5,15655,2006
"ICEV-D",5,0,2006
"HEV-G",5,0,2006
"HEV-D",5,0,2006
"CNG",5,0,2006
"PHEV",5,0,2006
"BEV",5,0,2006
"ICEV-G",6,5823,2006
"ICEV-D",6,0,2006
"HEV-G",6,0,2006
"HEV-D",6,0,2006
"CNG",6,0,2006
"PHEV",6,0,2006
"BEV",6,0,2006
"ICEV-G",7,3398,2006
"ICEV-D",7,0,2006
"HEV-G",7,0,2006
"HEV-D",7,0,2006
"CNG",7,0,2006
"PHEV",7,0,2006
"BEV",7,0,2006
"ICEV-G",8,4456,2006
"ICEV-D",8,0,2006
"HEV-G",8,0,2006
"HEV-D",8,0,2006
"CNG",8,0,2006
"PHEV",8,0,2006
"BEV",8,0,2006
"ICEV-G",9,1174,2006
"ICEV-D",9,0,2006
"HEV-G",9,0,2006
"HEV-D",9,0,2006
"CNG",9,0,2006
"PHEV",9,0,2006
"BEV",9,0,2006
"ICEV-G",10,1131,2006
"ICEV-D",10,0,2006
"HEV-G",10,0,2006
"HEV-D",10,0,2006
"CNG",10,0,2006
"PHEV",10,0,2006
"BEV",10,0,2006
"ICEV-G",11,634,2006
"ICEV-D",11,0,2006
"HEV-G",11,0,2006
"HEV-D",11,0,2006
"CNG",11,0,2006
"PHEV",11,0,2006
"BEV",11,0,2006
"ICEV-G",12,746,2006
"ICEV-D",12,0,2006
"HEV-G",12,0,2006
"HEV-D",12,0,2006
"CNG",12,0,2006
"PHEV",12,0,2006
"BEV",12,0,2006
"ICEV-G",13,3617,2006
"ICEV-D",13,0,2006
"HEV-G",13,0,2006
"HEV-D",13,0,2006
"CNG",13,0,2006
"PHEV",13,0,2006
"BEV",13,0,2006
"ICEV-G",14,10967,2006
"ICEV-D",14,0,2006
"HEV-G",14,0,2006
"HEV-D",14,0,2006
"CNG",14,0,2006
"PHEV",14,0,2006
"BEV",14,0,2006
"ICEV-G",15,10430,2006
"ICEV-D",15,0,2006
"HEV-G",15,0,2006
"HEV-D",15,0,2006
"CNG",15,0,2006
"PHEV",15,0,2006
"BEV",15,0,2006
"ICEV-G",0,112054,2007
"ICEV-D",0,0,2007
"HEV-G",0,680,2007
"HEV-D",0,0,2007
"CNG",0,35,2007
"PHEV",0,0,2007
"BEV",0,0,2007
"ICEV-G",1,122650,2007
"ICEV-D",1,1,2007
"HEV-G",1,27,2007
"HEV-D",1,0,2007
"CNG",1,15,2007
"PHEV",1,0,2007
"BEV",1,0,2007
"ICEV-G",2,108050,2007
"ICEV-D",2,3,2007
"HEV-G",2,350,2007
"HEV-D",2,0,2007
"CNG",2,198,2007
"PHEV",2,0,2007
"BEV",2,1,2007
"ICEV-G",3,81376,2007
"ICEV-D",3,0,2007
"HEV-G",3,0,2007
"HEV-D",3,0,2007
"CNG",3,0,2007
"PHEV",3,0,2007
"BEV",3,0,2007
"ICEV-G",4,42069,2007
"ICEV-D",4,0,2007
"HEV-G",4,0,2007
"HEV-D",4,0,2007
"CNG",4,0,2007
"PHEV",4,0,2007
"BEV",4,0,2007
"ICEV-G",5,12678,2007
"ICEV-D",5,0,2007
"HEV-G",5,0,2007
"HEV-D",5,0,2007
"CNG",5,0,2007
"PHEV",5,0,2007
"BEV",5,0,2007
"ICEV-G",6,10607,2007
"ICEV-D",6,0,2007
"HEV-G",6,0,2007
"HEV-D",6,0,2007
"CNG",6,0,2007
"PHEV",6,0,2007
"BEV",6,0,2007
"ICEV-G",7,3638,2007
"ICEV-D",7,0,2007
"HEV-G",7,0,2007
"HEV-D",7,0,2007
"CNG",7,0,2007
"PHEV",7,0,2007
"BEV",7,0,2007
"ICEV-G",8,2024,2007
"ICEV-D",8,0,2007
"HEV-G",8,0,2007
"HEV-D",8,0,2007
"CNG",8,0,2007
"PHEV",8,0,2007
"BEV",8,0,2007
"ICEV-G",9,2288,2007
"ICEV-D",9,0,2007
"HEV-G",9,0,2007
"HEV-D",9,0,2007
"CNG",9,0,2007
"PHEV",9,0,2007
"BEV",9,0,2007
"ICEV-G",10,502,2007
"ICEV-D",10,0,2007
"HEV-G",10,0,2007
"HEV-D",10,0,2007
"CNG",10,0,2007
"PHEV",10,0,2007
"BEV",10,0,2007
"ICEV-G",11,1125,2007
"ICEV-D",11,0,2007
"HEV-G",11,0,2007
"HEV-D",11,0,2007
"CNG",11,0,2007
"PHEV",11,0,2007
"BEV",11,0,2007
"ICEV-G",12,621,2007
"ICEV-D",12,0,2007
"HEV-G",12,0,2007
"HEV-D",12,0,2007
"CNG",12,0,2007
"PHEV",12,0,2007
"BEV",12,0,2007
"ICEV-G",13,698,2007
"ICEV-D",13,0,2007
"HEV-G",13,0,2007
"HEV-D",13,0,2007
"CNG",13,0,2007
"PHEV",13,0,2007
"BEV",13,0,2007
"ICEV-G",14,3223,2007
"ICEV-D",14,0,2007
"HEV-G",14,0,2007
"HEV-D",14,0,2007
"CNG",14,0,2007
"PHEV",14,0,2007
"BEV",14,0,2007
"ICEV-G",15,9772,2007
"ICEV-D",15,0,2007
"HEV-G",15,0,2007
"HEV-D",15,0,2007
"CNG",15,0,2007
"PHEV",15,0,2007
"BEV",15,0,2007
"ICEV-G",0,98834,2008
"ICEV-D",0,13,2008
"HEV-G",0,962,2008
"HEV-D",0,0,2008
"CNG",0,2207,2008
"PHEV",0,0,2008
"BEV",0,0,2008
"ICEV-G",1,111989,2008
"ICEV-D",1,0,2008
"HEV-G",1,680,2008
"HEV-D",1,0,2008
"CNG",1,35,2008
"PHEV",1,0,2008
"BEV",1,0,2008
"ICEV-G",2,122455,2008
"ICEV-D",2,1,2008
"HEV-G",2,27,2008
"HEV-D",2,0,2008
"CNG",2,15,2008
"PHEV",2,0,2008
"BEV",2,0,2008
"ICEV-G",3,101995,2008
"ICEV-D",3,3,2008
"HEV-G",3,330,2008
"HEV-D",3,0,2008
"CNG",3,187,2008
"PHEV",3,0,2008
"BEV",3,1,2008
"ICEV-G",4,60442,2008
"ICEV-D",4,0,2008
"HEV-G",4,0,2008
"HEV-D",4,0,2008
"CNG",4,0,2008
"PHEV",4,0,2008
"BEV",4,0,2008
"ICEV-G",5,23981,2008
"ICEV-D",5,0,2008
"HEV-G",5,0,2008
"HEV-D",5,0,2008
"CNG",5,0,2008
"PHEV",5,0,2008
"BEV",5,0,2008
"ICEV-G",6,8570,2008
"ICEV-D",6,0,2008
"HEV-G",6,0,2008
"HEV-D",6,0,2008
"CNG",6,0,2008
"PHEV",6,0,2008
"BEV",6,0,2008
"ICEV-G",7,7668,2008
"ICEV-D",7,0,2008
"HEV-G",7,0,2008
"HEV-D",7,0,2008
"CNG",7,0,2008
"PHEV",7,0,2008
"BEV",7,0,2008
"ICEV-G",8,2474,2008
"ICEV-D",8,0,2008
"HEV-G",8,0,2008
"HEV-D",8,0,2008
"CNG",8,0,2008
"PHEV",8,0,2008
"BEV",8,0,2008
"ICEV-G",9,1131,2008
"ICEV-D",9,0,2008
"HEV-G",9,0,2008
"HEV-D",9,0,2008
"CNG",9,0,2008
"PHEV",9,0,2008
"BEV",9,0,2008
"ICEV-G",10,594,2008
"ICEV-D",10,0,2008
"HEV-G",10,0,2008
"HEV-D",10,0,2008
"CNG",10,0,2008
"PHEV",10,0,2008
"BEV",10,0,2008
"ICEV-G",11,498,2008
"ICEV-D",11,0,2008
"HEV-G",11,0,2008
"HEV-D",11,0,2008
"CNG",11,0,2008
"PHEV",11,0,2008
"BEV",11,0,2008
"ICEV-G",12,1113,2008
"ICEV-D",12,0,2008
"HEV-G",12,0,2008
"HEV-D",12,0,2008
"CNG",12,0,2008
"PHEV",12,0,2008
"BEV",12,0,2008
"ICEV-G",13,604,2008
"ICEV-D",13,0,2008
"HEV-G",13,0,2008
"HEV-D",13,0,2008
"CNG",13,0,2008
"PHEV",13,0,2008
"BEV",13,0,2008
"ICEV-G",14,649,2008
"ICEV-D",14,0,2008
"HEV-G",14,0,2008
"HEV-D",14,0,2008
"CNG",14,0,2008
"PHEV",14,0,2008
"BEV",14,0,2008
"ICEV-G",15,2997,2008
"ICEV-D",15,0,2008
"HEV-G",15,0,2008
"HEV-D",15,0,2008
"CNG",15,0,2008
"PHEV",15,0,2008
"BEV",15,0,2008
"ICEV-G",0,67495,2009
"ICEV-D",0,26,2009
"HEV-G",0,668,2009
"HEV-D",0,0,2009
"CNG",0,250,2009
"PHEV",0,0,2009
"BEV",0,0,2009
"ICEV-G",1,98816,2009
"ICEV-D",1,13,2009
"HEV-G",1,962,2009
"HEV-D",1,0,2009
"CNG",1,2207,2009
"PHEV",1,0,2009
"BEV",1,0,2009
"ICEV-G",2,111822,2009
"ICEV-D",2,0,2009
"HEV-G",2,679,2009
"HEV-D",2,0,2009
"CNG",2,35,2009
"PHEV",2,0,2009
"BEV",2,0,2009
"ICEV-G",3,122005,2009
"ICEV-D",3,1,2009
"HEV-G",3,27,2009
"HEV-D",3,0,2009
"CNG",3,15,2009
"PHEV",3,0,2009
"BEV",3,0,2009
"ICEV-G",4,93131,2009
"ICEV-D",4,3,2009
"HEV-G",4,301,2009
"HEV-D",4,0,2009
"CNG",4,171,2009
"PHEV",4,0,2009
"BEV",4,1,2009
"ICEV-G",5,44002,2009
"ICEV-D",5,0,2009
"HEV-G",5,0,2009
"HEV-D",5,0,2009
"CNG",5,0,2009
"PHEV",5,0,2009
"BEV",5,0,2009
"ICEV-G",6,17511,2009
"ICEV-D",6,0,2009
"HEV-G",6,0,2009
"HEV-D",6,0,2009
"CNG",6,0,2009
"PHEV",6,0,2009
"BEV",6,0,2009
"ICEV-G",7,5936,2009
"ICEV-D",7,0,2009
"HEV-G",7,0,2009
"HEV-D",7,0,2009
"CNG",7,0,2009
"PHEV",7,0,2009
"BEV",7,0,2009
"ICEV-G",8,5465,2009
"ICEV-D",8,0,2009
"HEV-G",8,0,2009
"HEV-D",8,0,2009
"CNG",8,0,2009
"PHEV",8,0,2009
"BEV",8,0,2009
"ICEV-G",9,1574,2009
"ICEV-D",9,0,2009
"HEV-G",9,0,2009
"HEV-D",9,0,2009
"CNG",9,0,2009
"PHEV",9,0,2009
"BEV",9,0,2009
"ICEV-G",10,505,2009
"ICEV-D",10,0,2009
"HEV-G",10,0,2009
"HEV-D",10,0,2009
"CNG",10,0,2009
"PHEV",10,0,2009
"BEV",10,0,2009
"ICEV-G",11,586,2009
"ICEV-D",11,0,2009
"HEV-G",11,0,2009
"HEV-D",11,0,2009
"CNG",11,0,2009
"PHEV",11,0,2009
"BEV",11,0,2009
"ICEV-G",12,488,2009
"ICEV-D",12,0,2009
"HEV-G",12,0,2009
"HEV-D",12,0,2009
"CNG",12,0,2009
"PHEV",12,0,2009
"BEV",12,0,2009
"ICEV-G",13,1096,2009
"ICEV-D",13,0,2009
"HEV-G",13,0,2009
"HEV-D",13,0,2009
"CNG",13,0,2009
"PHEV",13,0,2009
"BEV",13,0,2009
"ICEV-G",14,577,2009
"ICEV-D",14,0,2009
"HEV-G",14,0,2009
"HEV-D",14,0,2009
"CNG",14,0,2009
"PHEV",14,0,2009
"BEV",14,0,2009
"ICEV-G",15,620,2009
"ICEV-D",15,0,2009
"HEV-G",15,0,2009
"HEV-D",15,0,2009
"CNG",15,0,2009
"PHEV",15,0,2009
"BEV",15,0,2009
"ICEV-G",0,37972,2010
"ICEV-D",0,95,2010
"HEV-G",0,687,2010
"HEV-D",0,0,2010
"CNG",0,38,2010
"PHEV",0,0,2010
"BEV",0,1,2010
"ICEV-G",1,67495,2010
"ICEV-D",1,26,2010
"HEV-G",1,668,2010
"HEV-D",1,0,2010
"CNG",1,250,2010
"PHEV",1,0,2010
"BEV",1,0,2010
"ICEV-G",2,98775,2010
"ICEV-D",2,13,2010
"HEV-G",2,962,2010
"HEV-D",2,0,2010
"CNG",2,2206,2010
"PHEV",2,0,2010
"BEV",2,0,2010
"ICEV-G",3,111439,2010
"ICEV-D",3,0,2010
"HEV-G",3,677,2010
"HEV-D",3,0,2010
"CNG",3,35,2010
"PHEV",3,0,2010
"BEV",3,0,2010
"ICEV-G",4,121521,2010
"ICEV-D",4,1,2010
"HEV-G",4,27,2010
"HEV-D",4,0,2010
"CNG",4,15,2010
"PHEV",4,0,2010
"BEV",4,0,2010
"ICEV-G",5,87984,2010
"ICEV-D",5,3,2010
"HEV-G",5,284,2010
"HEV-D",5,0,2010
"CNG",5,162,2010
"PHEV",5,0,2010
"BEV",5,1,2010
"ICEV-G",6,37564,2010
"ICEV-D",6,0,2010
"HEV-G",6,0,2010
"HEV-D",6,0,2010
"CNG",6,0,2010
"PHEV",6,0,2010
"BEV",6,0,2010
"ICEV-G",7,14014,2010
"ICEV-D",7,0,2010
"HEV-G",7,0,2010
"HEV-D",7,0,2010
"CNG",7,0,2010
"PHEV",7,0,2010
"BEV",7,0,2010
"ICEV-G",8,4713,2010
"ICEV-D",8,0,2010
"HEV-G",8,0,2010
"HEV-D",8,0,2010
"CNG",8,0,2010
"PHEV",8,0,2010
"BEV",8,0,2010
"ICEV-G",9,3790,2010
"ICEV-D",9,0,2010
"HEV-G",9,0,2010
"HEV-D",9,0,2010
"CNG",9,0,2010
"PHEV",9,0,2010
"BEV",9,0,2010
"ICEV-G",10,558,2010
"ICEV-D",10,0,2010
"HEV-G",10,0,2010
"HEV-D",10,0,2010
"CNG",10,0,2010
"PHEV",10,0,2010
"BEV",10,0,2010
"ICEV-G",11,501,2010
"ICEV-D",11,0,2010
"HEV-G",11,0,2010
"HEV-D",11,0,2010
"CNG",11,0,2010
"PHEV",11,0,2010
"BEV",11,0,2010
"ICEV-G",12,581,2010
"ICEV-D",12,0,2010
"HEV-G",12,0,2010
"HEV-D",12,0,2010
"CNG",12,0,2010
"PHEV",12,0,2010
"BEV",12,0,2010
"ICEV-G",13,475,2010
"ICEV-D",13,0,2010
"HEV-G",13,0,2010
"HEV-D",13,0,2010
"CNG",13,0,2010
"PHEV",13,0,2010
"BEV",13,0,2010
"ICEV-G",14,1082,2010
"ICEV-D",14,0,2010
"HEV-G",14,0,2010
"HEV-D",14,0,2010
"CNG",14,0,2010
"PHEV",14,0,2010
"BEV",14,0,2010
"ICEV-G",15,570,2010
"ICEV-D",15,0,2010
"HEV-G",15,0,2010
"HEV-D",15,0,2010
"CNG",15,0,2010
"PHEV",15,0,2010
"BEV",15,0,2010
"ICEV-G",0,20044,2011
"ICEV-D",0,208,2011
"HEV-G",0,485,2011
"HEV-D",0,0,2011
"CNG",0,0,2011
"PHEV",0,0,2011
"BEV",0,0,2011
"ICEV-G",1,37972,2011
"ICEV-D",1,95,2011
"HEV-G",1,687,2011
"HEV-D",1,0,2011
"CNG",1,37,2011
"PHEV",1,0,2011
"BEV",1,1,2011
"ICEV-G",2,67495,2011
"ICEV-D",2,26,2011
"HEV-G",2,668,2011
"HEV-D",2,0,2011
"CNG",2,244,2011
"PHEV",2,0,2011
"BEV",2,0,2011
"ICEV-G",3,98765,2011
"ICEV-D",3,13,2011
"HEV-G",3,962,2011
"HEV-D",3,0,2011
"CNG",3,2155,2011
"PHEV",3,0,2011
"BEV",3,0,2011
"ICEV-G",4,111298,2011
"ICEV-D",4,0,2011
"HEV-G",4,676,2011
"HEV-D",4,0,2011
"CNG",4,34,2011
"PHEV",4,0,2011
"BEV",4,0,2011
"ICEV-G",5,121260,2011
"ICEV-D",5,1,2011
"HEV-G",5,27,2011
"HEV-D",5,0,2011
"CNG",5,15,2011
"PHEV",5,0,2011
"BEV",5,0,2011
"ICEV-G",6,87106,2011
"ICEV-D",6,3,2011
"HEV-G",6,281,2011
"HEV-D",6,0,2011
"CNG",6,156,2011
"PHEV",6,0,2011
"BEV",6,1,2011
"ICEV-G",7,34178,2011
"ICEV-D",7,0,2011
"HEV-G",7,0,2011
"HEV-D",7,0,2011
"CNG",7,0,2011
"PHEV",7,0,2011
"BEV",7,0,2011
"ICEV-G",8,11710,2011
"ICEV-D",8,0,2011
"HEV-G",8,0,2011
"HEV-D",8,0,2011
"CNG",8,0,2011
"PHEV",8,0,2011
"BEV",8,0,2011
"ICEV-G",9,3376,2011
"ICEV-D",9,0,2011
"HEV-G",9,0,2011
"HEV-D",9,0,2011
"CNG",9,0,2011
"PHEV",9,0,2011
"BEV",9,0,2011
"ICEV-G",10,588,2011
"ICEV-D",10,0,2011
"HEV-G",10,0,2011
"HEV-D",10,0,2011
"CNG",10,0,2011
"PHEV",10,0,2011
"BEV",10,0,2011
"ICEV-G",11,558,2011
"ICEV-D",11,0,2011
"HEV-G",11,0,2011
"HEV-D",11,0,2011
"CNG",11,0,2011
"PHEV",11,0,2011
"BEV",11,0,2011
"ICEV-G",12,501,2011
"ICEV-D",12,0,2011
"HEV-G",12,0,2011
"HEV-D",12,0,2011
"CNG",12,0,2011
"PHEV",12,0,2011
"BEV",12,0,2011
"ICEV-G",13,575,2011
"ICEV-D",13,0,2011
"HEV-G",13,0,2011
"HEV-D",13,0,2011
"CNG",13,0,2011
"PHEV",13,0,2011
"BEV",13,0,2011
"ICEV-G",14,464,2011
"ICEV-D",14,0,2011
"HEV-G",14,0,2011
"HEV-D",14,0,2011
"CNG",14,0,2011
"PHEV",14,0,2011
"BEV",14,0,2011
"ICEV-G",15,1057,2011
"ICEV-D",15,0,2011
"HEV-G",15,0,2011
"HEV-D",15,0,2011
"CNG",15,0,2011
"PHEV",15,0,2011
"BEV",15,0,2011
"ICEV-G",0,26543,2012
"ICEV-D",0,335,2012
"HEV-G",0,904,2012
"HEV-D",0,0,2012
"CNG",0,0,2012
